"row_number"	"description"	"symbol_gene_string"	"ensembl_gene_string"
11	"Tardive Dyskinesia"	"{EMX2},{ENO4},{HSPA12A},{KCNK18},{PDZD8},{SHTN1},{SLC18A2},{VAX1}"	"{ENSG00000148704},{ENSG00000165646},{ENSG00000165650},{ENSG00000165868},{ENSG00000170370},{ENSG00000186795},{ENSG00000187164},{ENSG00000188316}"
12	"Immunoglobulin Light-chain Amyloidosis"	"{BST1},{C1QTNF7},{CC2D2A},{CD38},{FAM200B},{FBXL5},{FGFBP1},{FGFBP2},{PROM1},{TAPT1}"	"{ENSG00000004468},{ENSG00000007062},{ENSG00000048342},{ENSG00000109743},{ENSG00000118564},{ENSG00000137440},{ENSG00000137441},{ENSG00000163145},{ENSG00000169762},{ENSG00000237765}"
13	"COVID-19"	"{ACR},{ADM2},{ARSA},{CHKB},{CHKB-CPT1B},{CPT1B},{DENND6B},{HDAC10},{KLHDC7B},{LMF2},{MAPK11},{MAPK12},{MAPK8IP2},{MIOX},{NCAPH2},{ODF3B},{PLXNB2},{PPP6R2},{RABL2B},{SBF1},{SCO2},{SHANK3},{SYCE3},{TUBGCP6},{TYMP}"	"{ENSG00000008735},{ENSG00000025708},{ENSG00000025770},{ENSG00000079974},{ENSG00000100239},{ENSG00000100241},{ENSG00000100253},{ENSG00000100258},{ENSG00000100288},{ENSG00000100299},{ENSG00000100312},{ENSG00000100429},{ENSG00000128159},{ENSG00000128165},{ENSG00000130487},{ENSG00000177989},{ENSG00000185386},{ENSG00000188130},{ENSG00000196576},{ENSG00000205560},{ENSG00000205593},{ENSG00000217442},{ENSG00000251322},{ENSG00000254413},{ENSG00000284194}"
14	"COVID-19"	"{AGT},{ARV1},{C1orf198},{CAPN9},{COG2},{FAM89A},{GALNT2},{PGBD5},{TRIM67},{TTC13}"	"{ENSG00000119280},{ENSG00000119283},{ENSG00000135744},{ENSG00000135773},{ENSG00000135775},{ENSG00000143641},{ENSG00000143643},{ENSG00000173409},{ENSG00000177614},{ENSG00000182118}"
15	"COVID-19"	"{OPHN1},{STARD8},{YIPF6}"	"{ENSG00000079482},{ENSG00000130052},{ENSG00000181704}"
16	"COVID-19"	"{ATG7},{HRH1},{SLC6A1},{SLC6A11},{VGLL4}"	"{ENSG00000132164},{ENSG00000144560},{ENSG00000157103},{ENSG00000196639},{ENSG00000197548}"
17	"COVID-19"	"{C3orf18},{CACNA2D2},{CAMKV},{CDHR4},{CISH},{CYB561D2},{DOCK3},{ENSG00000272104},{GNAI2},{GNAT1},{HEMK1},{HYAL1},{HYAL2},{HYAL3},{IFRD2},{INKA1},{LSMEM2},{MAPKAPK3},{MON1A},{MST1R},{NAA80},{NPRL2},{RASSF1},{RBM5},{RBM6},{SEMA3B},{SEMA3F},{SLC38A3},{TMEM115},{TRAIP},{TUSC2},{UBA7},{ZMYND10}"	"{ENSG00000001617},{ENSG00000003756},{ENSG00000004534},{ENSG00000004838},{ENSG00000007402},{ENSG00000012171},{ENSG00000068001},{ENSG00000068028},{ENSG00000088538},{ENSG00000088543},{ENSG00000114349},{ENSG00000114353},{ENSG00000114378},{ENSG00000114383},{ENSG00000114388},{ENSG00000114395},{ENSG00000114735},{ENSG00000114737},{ENSG00000114738},{ENSG00000126062},{ENSG00000164076},{ENSG00000164077},{ENSG00000164078},{ENSG00000179564},{ENSG00000182179},{ENSG00000183763},{ENSG00000185614},{ENSG00000186792},{ENSG00000187492},{ENSG00000188338},{ENSG00000214706},{ENSG00000243477},{ENSG00000272104}"
18	"COVID-19"	"{C21orf62},{CRYZL1},{DNAJC28},{DONSON},{ENSG00000249209},{ENSG00000249624},{GART},{IFNAR1},{IFNAR2},{IFNGR2},{IL10RB},{ITSN1},{OLIG1},{OLIG2},{PAXBP1},{SON},{TMEM50B}"	"{ENSG00000142166},{ENSG00000142188},{ENSG00000159086},{ENSG00000159110},{ENSG00000159128},{ENSG00000159131},{ENSG00000159140},{ENSG00000159147},{ENSG00000177692},{ENSG00000184221},{ENSG00000205726},{ENSG00000205758},{ENSG00000205927},{ENSG00000205929},{ENSG00000243646},{ENSG00000249209},{ENSG00000249624}"
19	"COVID-19"	"{AQP10},{ATP8B2},{C1orf43},{CFAP141},{CHTOP},{CREB3L4},{CRTC2},{DENND4B},{ENSG00000285641},{ENSG00000285779},{GATAD2B},{HAX1},{IL6R},{ILF2},{INTS3},{JTB},{NPR1},{NUP210L},{RAB13},{RPS27},{S100A1},{S100A13},{S100A14},{S100A16},{S100A2},{S100A3},{S100A4},{S100A5},{S100A6},{SHE},{SLC27A3},{SLC39A1},{SNAPIN},{TPM3},{UBAP2L}"	"{ENSG00000143515},{ENSG00000143543},{ENSG00000143545},{ENSG00000143549},{ENSG00000143552},{ENSG00000143553},{ENSG00000143554},{ENSG00000143569},{ENSG00000143570},{ENSG00000143575},{ENSG00000143578},{ENSG00000143595},{ENSG00000143612},{ENSG00000143614},{ENSG00000143621},{ENSG00000143624},{ENSG00000160678},{ENSG00000160679},{ENSG00000160712},{ENSG00000160741},{ENSG00000163263},{ENSG00000169291},{ENSG00000169418},{ENSG00000177954},{ENSG00000188015},{ENSG00000188643},{ENSG00000189171},{ENSG00000189334},{ENSG00000196154},{ENSG00000196420},{ENSG00000196754},{ENSG00000197956},{ENSG00000198837},{ENSG00000285641},{ENSG00000285779}"
20	"COVID-19"	"{AK4},{CACHD1},{DNAJC6},{JAK1},{RAVER2}"	"{ENSG00000116675},{ENSG00000158966},{ENSG00000162433},{ENSG00000162434},{ENSG00000162437}"
21	"COVID-19"	"{AK3},{CD274},{CDC37L1},{INSL4},{INSL6},{JAK2},{PDCD1LG2},{PLGRKT},{RCL1},{RIC1},{RLN1},{RLN2}"	"{ENSG00000096968},{ENSG00000106993},{ENSG00000107014},{ENSG00000107018},{ENSG00000107020},{ENSG00000107036},{ENSG00000120158},{ENSG00000120210},{ENSG00000120211},{ENSG00000120217},{ENSG00000147853},{ENSG00000197646}"
22	"COVID-19"	"{ABHD14A},{ABHD14A-ACY1},{ABHD14B},{ACY1},{ALAS1},{BAP1},{DNAH1},{DUSP7},{ENSG00000173366},{ENSG00000285749},{GLT8D1},{GLYCTK},{GNL3},{GPR62},{IQCF1},{IQCF2},{IQCF3},{IQCF5},{IQCF6},{NEK4},{NISCH},{NT5DC2},{PARP3},{PBRM1},{PCBP4},{PHF7},{POC1A},{PPM1M},{RPL29},{RRP9},{SEMA3G},{SMIM4},{SPCS1},{STAB1},{TLR9},{TNNC1},{TWF2},{WDR82}"	"{ENSG00000010318},{ENSG00000010319},{ENSG00000010322},{ENSG00000010327},{ENSG00000016864},{ENSG00000023330},{ENSG00000041880},{ENSG00000090097},{ENSG00000114767},{ENSG00000114779},{ENSG00000114786},{ENSG00000114841},{ENSG00000114854},{ENSG00000114902},{ENSG00000114904},{ENSG00000162244},{ENSG00000163930},{ENSG00000163938},{ENSG00000163939},{ENSG00000164086},{ENSG00000164087},{ENSG00000164088},{ENSG00000164091},{ENSG00000168237},{ENSG00000168268},{ENSG00000168273},{ENSG00000173366},{ENSG00000173389},{ENSG00000180929},{ENSG00000184345},{ENSG00000214681},{ENSG00000214686},{ENSG00000229972},{ENSG00000239732},{ENSG00000243989},{ENSG00000247596},{ENSG00000248487},{ENSG00000285749}"
23	"COVID-19"	"{ACKR2},{CCDC13},{CCK},{CYP8B1},{ENSG00000273291},{ENSG00000280571},{ENSG00000290317},{GASK1A},{HHATL},{HIGD1A},{KLHL40},{KRBOX1},{LYZL4},{NKTR},{SEC22C},{SS18L2},{TRAK1},{VIPR1},{ZBTB47},{ZNF662}"	"{ENSG00000008324},{ENSG00000010282},{ENSG00000093183},{ENSG00000114812},{ENSG00000114853},{ENSG00000114857},{ENSG00000144648},{ENSG00000144649},{ENSG00000157093},{ENSG00000157119},{ENSG00000180432},{ENSG00000181061},{ENSG00000182606},{ENSG00000182983},{ENSG00000187094},{ENSG00000240747},{ENSG00000244607},{ENSG00000273291},{ENSG00000280571},{ENSG00000290317}"
24	"Acne Vulgaris"	"{OPHN1},{STARD8},{YIPF6}"	"{ENSG00000079482},{ENSG00000130052},{ENSG00000181704}"
25	"Acne Vulgaris"	"{CASC3},{CCR7},{CDC6},{CSF3},{ENSG00000264058},{GJD3},{GSDMA},{GSDMB},{IGFBP4},{IKZF3},{KRT10},{KRT222},{KRT24},{KRT25},{KRT26},{KRT27},{KRT28},{LRRC3C},{MED24},{MSL1},{NR1D1},{ORMDL3},{PSMD3},{RAPGEFL1},{RARA},{SMARCE1},{THRA},{TNS4},{TOP2A},{WIPF2},{ZPBP2}"	"{ENSG00000008838},{ENSG00000073584},{ENSG00000073605},{ENSG00000094804},{ENSG00000108342},{ENSG00000108344},{ENSG00000108349},{ENSG00000108352},{ENSG00000126351},{ENSG00000126353},{ENSG00000126368},{ENSG00000131746},{ENSG00000131747},{ENSG00000131759},{ENSG00000141753},{ENSG00000161405},{ENSG00000167914},{ENSG00000167916},{ENSG00000171446},{ENSG00000171475},{ENSG00000172057},{ENSG00000173908},{ENSG00000183153},{ENSG00000186075},{ENSG00000186393},{ENSG00000186395},{ENSG00000188895},{ENSG00000204897},{ENSG00000204913},{ENSG00000213424},{ENSG00000264058}"
26	"Acne Vulgaris"	"{NGLY1},{OXSM},{RARB},{TOP2B}"	"{ENSG00000077092},{ENSG00000077097},{ENSG00000151092},{ENSG00000151093}"
27	"Acne Vulgaris"	"{AAAS},{AMHR2},{ATF7},{ATF7-NPFF},{ATP5MC2},{CALCOCO1},{CSAD},{EIF4B},{ENSG00000283536},{ESPL1},{IGFBP6},{ITGB7},{KRT18},{KRT3},{KRT4},{KRT76},{KRT78},{KRT79},{KRT8},{MAP3K12},{MFSD5},{MYG1},{NPFF},{PCBP2},{PFDN5},{PRR13},{RARG},{SOAT2},{SP1},{SP7},{SPRYD3},{TARBP2},{TNS2},{ZNF740}"	"{ENSG00000012822},{ENSG00000063046},{ENSG00000094914},{ENSG00000111057},{ENSG00000111077},{ENSG00000123349},{ENSG00000135390},{ENSG00000135409},{ENSG00000135476},{ENSG00000139546},{ENSG00000139574},{ENSG00000139625},{ENSG00000139626},{ENSG00000139631},{ENSG00000139637},{ENSG00000139651},{ENSG00000167778},{ENSG00000167779},{ENSG00000167780},{ENSG00000170374},{ENSG00000170421},{ENSG00000170423},{ENSG00000170477},{ENSG00000170653},{ENSG00000172819},{ENSG00000182544},{ENSG00000185069},{ENSG00000185591},{ENSG00000185640},{ENSG00000186442},{ENSG00000197111},{ENSG00000205352},{ENSG00000267281},{ENSG00000283536}"
28	"Acromegaly"	"{C17orf80},{CDC42EP4},{COG1},{CPSF4L},{FAM104A},{SDK2},{SLC39A11},{SSTR2}"	"{ENSG00000069188},{ENSG00000133193},{ENSG00000133195},{ENSG00000141219},{ENSG00000166685},{ENSG00000179604},{ENSG00000180616},{ENSG00000187959}"
29	"Addison Disease"	"{ARHGAP26},{HMHB1},{NR3C1}"	"{ENSG00000113580},{ENSG00000145819},{ENSG00000158497}"
30	"Adrenal Gland Neoplasms"	"{ASCL2},{C11orf21},{CD81},{CTSD},{ENSG00000250644},{ENSG00000284779},{IFITM10},{IGF2},{INS},{INS-IGF2},{KCNQ1},{KRTAP5-6},{LSP1},{MRPL23},{PRR33},{SYT8},{TH},{TNNI2},{TNNT3},{TRPM5},{TSPAN32},{TSSC4}"	"{ENSG00000053918},{ENSG00000064201},{ENSG00000070985},{ENSG00000110651},{ENSG00000110665},{ENSG00000117984},{ENSG00000129965},{ENSG00000130592},{ENSG00000130595},{ENSG00000130598},{ENSG00000149043},{ENSG00000167244},{ENSG00000180176},{ENSG00000183734},{ENSG00000184281},{ENSG00000205864},{ENSG00000214026},{ENSG00000244242},{ENSG00000250644},{ENSG00000254647},{ENSG00000283787},{ENSG00000284779}"
31	"Adrenoleukodystrophy"	"{ABCD1},{ARHGAP4},{ATP2B3},{AVPR2},{BCAP31},{BGN},{CCNQ},{DUSP9},{ENSG00000284987},{HAUS7},{HCFC1},{IDH3G},{IRAK1},{L1CAM},{MECP2},{NAA10},{OPN1LW},{OPN1MW},{PDZD4},{PLXNB3},{PNCK},{PNMA6E},{PNMA6F},{PWWP4},{RENBP},{SLC6A8},{SRPK3},{SSR4},{TMEM187},{TREX2},{ZFP92},{ZNF275}"	"{ENSG00000063587},{ENSG00000067829},{ENSG00000067840},{ENSG00000067842},{ENSG00000089820},{ENSG00000101986},{ENSG00000102030},{ENSG00000102032},{ENSG00000102076},{ENSG00000126895},{ENSG00000130821},{ENSG00000130822},{ENSG00000130829},{ENSG00000169057},{ENSG00000172534},{ENSG00000177854},{ENSG00000180879},{ENSG00000182492},{ENSG00000183479},{ENSG00000184216},{ENSG00000184343},{ENSG00000185825},{ENSG00000189420},{ENSG00000198753},{ENSG00000198910},{ENSG00000213397},{ENSG00000214897},{ENSG00000225110},{ENSG00000262919},{ENSG00000268221},{ENSG00000278803},{ENSG00000284987}"
32	"Adrenoleukodystrophy"	"{CAND2},{ENSG00000289809},{MKRN2},{MKRN2OS},{PPARG},{RAF1},{RPL32},{SYN2},{TIMP4},{TMEM40},{TSEN2}"	"{ENSG00000075975},{ENSG00000088726},{ENSG00000132155},{ENSG00000132170},{ENSG00000144712},{ENSG00000144713},{ENSG00000154743},{ENSG00000157150},{ENSG00000157152},{ENSG00000225526},{ENSG00000289809}"
33	"Afibrinogenemia"	"{DCHS2},{FGA},{FGB},{FGG},{LRAT},{PLRG1},{RBM46}"	"{ENSG00000121207},{ENSG00000151962},{ENSG00000171557},{ENSG00000171560},{ENSG00000171564},{ENSG00000171566},{ENSG00000197410}"
34	"Afibrinogenemia"	"{DCHS2},{FGA},{FGB},{FGG},{LRAT},{PLRG1},{RBM46}"	"{ENSG00000121207},{ENSG00000151962},{ENSG00000171557},{ENSG00000171560},{ENSG00000171564},{ENSG00000171566},{ENSG00000197410}"
35	"Afibrinogenemia"	"{DCHS2},{FGA},{FGB},{FGG},{LRAT},{PLRG1},{RBM46}"	"{ENSG00000121207},{ENSG00000151962},{ENSG00000171557},{ENSG00000171560},{ENSG00000171564},{ENSG00000171566},{ENSG00000197410}"
36	"Alcoholism"	"{ALDH1A1},{ANXA1},{GDA},{TMC1},{ZFAND5}"	"{ENSG00000107372},{ENSG00000119125},{ENSG00000135046},{ENSG00000165091},{ENSG00000165092}"
37	"Alcoholism"	"{GABBR1},{HLA-A},{HLA-F},{HLA-G},{MAS1L},{MOG},{OR10C1},{OR11A1},{OR12D1},{OR12D2},{OR12D3},{OR14J1},{OR2H1},{OR2H2},{OR2I1P},{OR2J2},{OR5V1},{POLR1H},{PPP1R11},{RNF39},{TRIM31},{UBD},{ZFP57}"	"{ENSG00000066379},{ENSG00000112462},{ENSG00000204616},{ENSG00000204618},{ENSG00000204619},{ENSG00000204632},{ENSG00000204642},{ENSG00000204644},{ENSG00000204655},{ENSG00000204657},{ENSG00000204681},{ENSG00000204687},{ENSG00000204688},{ENSG00000204694},{ENSG00000204695},{ENSG00000204700},{ENSG00000206474},{ENSG00000206503},{ENSG00000213886},{ENSG00000237988},{ENSG00000243729},{ENSG00000251608},{ENSG00000280236}"
38	"Alcoholism"	"{ATP6V1H},{LYPLA1},{MRPL15},{RGS20},{TCEA1}"	"{ENSG00000047249},{ENSG00000120992},{ENSG00000137547},{ENSG00000147509},{ENSG00000187735}"
39	"Alcoholism"	"{CNKSR3},{ENSG00000288520},{IPCEF1},{OPRM1},{SCAF8},{TIAM2}"	"{ENSG00000074706},{ENSG00000112038},{ENSG00000146426},{ENSG00000153721},{ENSG00000213079},{ENSG00000288520}"
40	"Alopecia"	"{ABCC9},{CMAS},{ENSG00000285854},{GOLT1B},{GYS2},{IAPP},{KCNJ8},{LDHB},{PYROXD1},{RECQL},{SLCO1A2},{SPX},{ST8SIA1}"	"{ENSG00000004700},{ENSG00000069431},{ENSG00000084453},{ENSG00000111711},{ENSG00000111713},{ENSG00000111716},{ENSG00000111726},{ENSG00000111728},{ENSG00000121350},{ENSG00000121351},{ENSG00000121361},{ENSG00000134548},{ENSG00000285854}"
41	"Alopecia"	"{ABCC9},{CMAS},{ENSG00000257062},{ENSG00000285854},{GOLT1B},{GYS2},{IAPP},{KCNJ8},{LDHB},{PYROXD1},{RECQL},{SLCO1A2},{SLCO1B1},{SLCO1B3-SLCO1B7},{SPX}"	"{ENSG00000004700},{ENSG00000069431},{ENSG00000084453},{ENSG00000111711},{ENSG00000111713},{ENSG00000111716},{ENSG00000111726},{ENSG00000121350},{ENSG00000121351},{ENSG00000121361},{ENSG00000134538},{ENSG00000134548},{ENSG00000257046},{ENSG00000257062},{ENSG00000285854}"
42	"Alopecia"	"{ATP2B4},{ENSG00000288644},{ETNK2},{GOLT1A},{KISS1},{LAX1},{LRRN2},{MDM4},{PIK3C2B},{PLEKHA6},{PPP1R15B},{REN},{SNRPE},{SOX13},{ZBED6},{ZC3H11A}"	"{ENSG00000058668},{ENSG00000058673},{ENSG00000122188},{ENSG00000133056},{ENSG00000143839},{ENSG00000143842},{ENSG00000143845},{ENSG00000143850},{ENSG00000158615},{ENSG00000170382},{ENSG00000170498},{ENSG00000174567},{ENSG00000182004},{ENSG00000198625},{ENSG00000257315},{ENSG00000288644}"
43	"Alopecia"	"{CAPN14},{DPY30},{EHD3},{GALNT14},{MEMO1},{SRD5A2},{XDH}"	"{ENSG00000013016},{ENSG00000158089},{ENSG00000158125},{ENSG00000162959},{ENSG00000162961},{ENSG00000214711},{ENSG00000277893}"
44	"Alopecia Areata"	"{ABCC9},{C2CD5},{CMAS},{ENSG00000285854},{GYS2},{KCNJ8},{LDHB},{ST8SIA1}"	"{ENSG00000069431},{ENSG00000111713},{ENSG00000111716},{ENSG00000111726},{ENSG00000111728},{ENSG00000111731},{ENSG00000121361},{ENSG00000285854}"
45	"Alopecia Areata"	"{CACHD1},{JAK1},{RAVER2},{ROR1},{UBE2U}"	"{ENSG00000158966},{ENSG00000162434},{ENSG00000162437},{ENSG00000177414},{ENSG00000185483}"
46	"Alopecia Areata"	"{CD274},{ERMP1},{INSL4},{INSL6},{JAK2},{PDCD1LG2},{PLGRKT},{RCL1},{RIC1},{RLN1},{RLN2}"	"{ENSG00000096968},{ENSG00000099219},{ENSG00000107014},{ENSG00000107018},{ENSG00000107020},{ENSG00000107036},{ENSG00000120158},{ENSG00000120210},{ENSG00000120211},{ENSG00000120217},{ENSG00000197646}"
47	"Alopecia Areata"	"{ARRDC2},{B3GNT3},{BST2},{CCDC124},{CCDC194},{COLGALT1},{ENSG00000268173},{ENSG00000269035},{ENSG00000284797},{ENSG00000285188},{FCHO1},{GTPBP3},{IFI30},{IL12RB1},{INSL3},{IQCN},{JAK3},{JUND},{KCNN1},{LSM4},{MAP1S},{MAST3},{MPV17L2},{MVB12A},{NIBAN3},{NXNL1},{PDE4C},{PGLS},{PIK3R2},{PLVAP},{RAB3A},{RPL18A},{SLC27A1},{SLC5A5},{TMEM221},{UNC13A}"	"{ENSG00000007080},{ENSG00000096996},{ENSG00000099308},{ENSG00000105639},{ENSG00000105640},{ENSG00000105641},{ENSG00000105642},{ENSG00000105643},{ENSG00000105647},{ENSG00000105649},{ENSG00000105650},{ENSG00000130299},{ENSG00000130300},{ENSG00000130303},{ENSG00000130304},{ENSG00000130309},{ENSG00000130313},{ENSG00000130475},{ENSG00000130477},{ENSG00000130479},{ENSG00000130518},{ENSG00000130520},{ENSG00000130522},{ENSG00000141971},{ENSG00000167483},{ENSG00000171773},{ENSG00000179913},{ENSG00000188051},{ENSG00000216490},{ENSG00000248099},{ENSG00000254858},{ENSG00000268173},{ENSG00000269035},{ENSG00000269720},{ENSG00000284797},{ENSG00000285188}"
48	"Alopecia Areata"	"{ABCC9},{CMAS},{ENSG00000285854},{GOLT1B},{GYS2},{IAPP},{KCNJ8},{LDHB},{PYROXD1},{RECQL},{SLCO1A2},{SPX},{ST8SIA1}"	"{ENSG00000004700},{ENSG00000069431},{ENSG00000084453},{ENSG00000111711},{ENSG00000111713},{ENSG00000111716},{ENSG00000111726},{ENSG00000111728},{ENSG00000121350},{ENSG00000121351},{ENSG00000121361},{ENSG00000134548},{ENSG00000285854}"
49	"Alopecia Areata"	"{ATP2B4},{ENSG00000288644},{ETNK2},{GOLT1A},{KISS1},{LAX1},{LRRN2},{MDM4},{PIK3C2B},{PLEKHA6},{PPP1R15B},{REN},{SNRPE},{SOX13},{ZBED6},{ZC3H11A}"	"{ENSG00000058668},{ENSG00000058673},{ENSG00000122188},{ENSG00000133056},{ENSG00000143839},{ENSG00000143842},{ENSG00000143845},{ENSG00000143850},{ENSG00000158615},{ENSG00000170382},{ENSG00000170498},{ENSG00000174567},{ENSG00000182004},{ENSG00000198625},{ENSG00000257315},{ENSG00000288644}"
50	"Alzheimer Disease"	"{ACHE},{ACTL6B},{AGFG2},{AP1S1},{CLDN15},{ENSG00000289690},{ENSG00000289760},{EPHB4},{EPO},{FBXO24},{FIS1},{GIGYF1},{GNB2},{IFT22},{LRCH4},{MEPCE},{MOGAT3},{MOSPD3},{MUC12},{MUC17},{MUC3A},{NAT16},{NYAP1},{PCOLCE},{PILRA},{PILRB},{PLOD3},{POP7},{PPP1R35},{SAP25},{SERPINE1},{SLC12A9},{SPACDR},{SRRT},{TFR2},{TRIM56},{TRIP6},{TSC22D4},{UFSP1},{VGF},{ZAN},{ZCWPW1},{ZNHIT1}"	"{ENSG00000077080},{ENSG00000077454},{ENSG00000078487},{ENSG00000085514},{ENSG00000087077},{ENSG00000087085},{ENSG00000087087},{ENSG00000106327},{ENSG00000106330},{ENSG00000106333},{ENSG00000106336},{ENSG00000106351},{ENSG00000106366},{ENSG00000106367},{ENSG00000106384},{ENSG00000106397},{ENSG00000106400},{ENSG00000106404},{ENSG00000121716},{ENSG00000128564},{ENSG00000128581},{ENSG00000130427},{ENSG00000146828},{ENSG00000146830},{ENSG00000146834},{ENSG00000146839},{ENSG00000160813},{ENSG00000166924},{ENSG00000166925},{ENSG00000167011},{ENSG00000169871},{ENSG00000169876},{ENSG00000169894},{ENSG00000172336},{ENSG00000172354},{ENSG00000176125},{ENSG00000185955},{ENSG00000196411},{ENSG00000205277},{ENSG00000205307},{ENSG00000214253},{ENSG00000289690},{ENSG00000289760}"
