"row_number"	"description"	"symbol_gene_string"	"ensembl_gene_string"
11	"Glutamine (L-Glutamine)"	"{BMP8A},{BMP8B},{CAP1},{HEYL},{HPCAL4},{MACF1},{MFSD2A},{MYCL},{NT5C1A},{OXCT2},{PABPC4},{PPIE},{TRIT1}"	"{ENSG00000043514},{ENSG00000084072},{ENSG00000090621},{ENSG00000116981},{ENSG00000116983},{ENSG00000116985},{ENSG00000116990},{ENSG00000127603},{ENSG00000131236},{ENSG00000163909},{ENSG00000168389},{ENSG00000183682},{ENSG00000198754}"
12	"Glycine"	"{BMP8A},{BMP8B},{CAP1},{HEYL},{HPCAL4},{MACF1},{MFSD2A},{MYCL},{NT5C1A},{OXCT2},{PABPC4},{PPIE},{PPT1},{TRIT1}"	"{ENSG00000043514},{ENSG00000084072},{ENSG00000090621},{ENSG00000116981},{ENSG00000116983},{ENSG00000116985},{ENSG00000116990},{ENSG00000127603},{ENSG00000131236},{ENSG00000131238},{ENSG00000163909},{ENSG00000168389},{ENSG00000183682},{ENSG00000198754}"
13	"Rheumatoid arthritis"	"{BMP8A},{BMP8B},{CAP1},{HEYL},{HPCAL4},{MACF1},{MFSD2A},{MYCL},{NT5C1A},{OXCT2},{PABPC4},{PPIE},{PPT1},{RLF},{TRIT1}"	"{ENSG00000043514},{ENSG00000084072},{ENSG00000090621},{ENSG00000116981},{ENSG00000116983},{ENSG00000116985},{ENSG00000116990},{ENSG00000117000},{ENSG00000127603},{ENSG00000131236},{ENSG00000131238},{ENSG00000163909},{ENSG00000168389},{ENSG00000183682},{ENSG00000198754}"
14	"hemochromatosis (iron biomarker measurement)"	"{CITED4},{CTPS1},{EXO5},{FOXO6},{KCNQ4},{NFYC},{RIMS3},{SCMH1},{SLFNL1},{SMAP2},{ZFP69},{ZFP69B},{ZNF684}"	"{ENSG00000010803},{ENSG00000066136},{ENSG00000084070},{ENSG00000117010},{ENSG00000117013},{ENSG00000117016},{ENSG00000164002},{ENSG00000171790},{ENSG00000171793},{ENSG00000179862},{ENSG00000187801},{ENSG00000187815},{ENSG00000204060}"
15	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis)  [subset analysis]"	"{CITED4},{CTPS1},{EXO5},{FOXO6},{KCNQ4},{NFYC},{RIMS3},{SCMH1},{SLFNL1},{SMAP2},{ZFP69},{ZFP69B},{ZNF684}"	"{ENSG00000010803},{ENSG00000066136},{ENSG00000084070},{ENSG00000117010},{ENSG00000117013},{ENSG00000117016},{ENSG00000164002},{ENSG00000171790},{ENSG00000171793},{ENSG00000179862},{ENSG00000187801},{ENSG00000187815},{ENSG00000204060}"
16	"Muscle Spasticity"	"{CITED4},{CTPS1},{EXO5},{FOXO6},{KCNQ4},{NFYC},{RIMS3},{SCMH1},{SLFNL1},{ZFP69},{ZNF684}"	"{ENSG00000010803},{ENSG00000066136},{ENSG00000117010},{ENSG00000117013},{ENSG00000117016},{ENSG00000164002},{ENSG00000171790},{ENSG00000171793},{ENSG00000179862},{ENSG00000187815},{ENSG00000204060}"
17	"Pulmonary Embolism"	"{CITED4},{CTPS1},{EDN2},{ENSG00000284895},{FOXO6},{HIVEP3},{KCNQ4},{NFYC},{SCMH1},{SLFNL1}"	"{ENSG00000010803},{ENSG00000066136},{ENSG00000117013},{ENSG00000127124},{ENSG00000127129},{ENSG00000171790},{ENSG00000171793},{ENSG00000179862},{ENSG00000204060},{ENSG00000284895}"
18	"Rhinitis, Allergic, Seasonal"	"{CITED4},{CTPS1},{EDN2},{ENSG00000284895},{FOXO6},{HIVEP3},{KCNQ4},{SCMH1},{SLFNL1}"	"{ENSG00000010803},{ENSG00000117013},{ENSG00000127124},{ENSG00000127129},{ENSG00000171790},{ENSG00000171793},{ENSG00000179862},{ENSG00000204060},{ENSG00000284895}"
19	"platelet crit (plateletcrit)"	"{ARTN},{ATP6V0B},{B4GALT2},{C1orf210},{CCDC24},{CDC20},{CFAP57},{DPH2},{ELOVL1},{ENSG00000284989},{HYI},{IPO13},{KDM4A},{KLF17},{KLF18},{MED8},{MPL},{PTPRF},{SLC6A9},{ST3GAL3},{SZT2},{TIE1},{TMEM125}"	"{ENSG00000066056},{ENSG00000066135},{ENSG00000066322},{ENSG00000117399},{ENSG00000117400},{ENSG00000117407},{ENSG00000117408},{ENSG00000117410},{ENSG00000117411},{ENSG00000126091},{ENSG00000132768},{ENSG00000142949},{ENSG00000159214},{ENSG00000159479},{ENSG00000171872},{ENSG00000178922},{ENSG00000179178},{ENSG00000196517},{ENSG00000198198},{ENSG00000243710},{ENSG00000253313},{ENSG00000283039},{ENSG00000284989}"
20	"Angioedemas, Hereditary"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58},{VN1R5},{ZNF124},{ZNF496},{ZNF669},{ZNF670},{ZNF670-ZNF695}"	"{ENSG00000135747},{ENSG00000153230},{ENSG00000162711},{ENSG00000162714},{ENSG00000162722},{ENSG00000169214},{ENSG00000169224},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000188295},{ENSG00000196242},{ENSG00000196418},{ENSG00000196772},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000197617},{ENSG00000198128},{ENSG00000198452},{ENSG00000203663},{ENSG00000221888},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000277462},{ENSG00000279263}"
21	"Lymphoma, Follicular"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14C36},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L13},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2M2},{OR2M3},{OR2M4},{OR2M5},{OR2M7},{OR2T12},{OR2T33},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58}"	"{ENSG00000153230},{ENSG00000162711},{ENSG00000162722},{ENSG00000162727},{ENSG00000169214},{ENSG00000169224},{ENSG00000171180},{ENSG00000177174},{ENSG00000177186},{ENSG00000177201},{ENSG00000177212},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000196071},{ENSG00000196242},{ENSG00000196772},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000198128},{ENSG00000198452},{ENSG00000198601},{ENSG00000203663},{ENSG00000221888},{ENSG00000228198},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000279263}"
22	"Myositis Ossificans"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58},{VN1R5},{ZNF124},{ZNF496},{ZNF669},{ZNF670},{ZNF670-ZNF695}"	"{ENSG00000135747},{ENSG00000153230},{ENSG00000162711},{ENSG00000162714},{ENSG00000162722},{ENSG00000169214},{ENSG00000169224},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000188295},{ENSG00000196242},{ENSG00000196418},{ENSG00000196772},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000197617},{ENSG00000198128},{ENSG00000198452},{ENSG00000203663},{ENSG00000221888},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000277462},{ENSG00000279263}"
23	"Essential hypertension"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14C36},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L13},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2M2},{OR2M3},{OR2M4},{OR2M5},{OR2M7},{OR2T12},{OR2T33},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58}"	"{ENSG00000153230},{ENSG00000162711},{ENSG00000162722},{ENSG00000162727},{ENSG00000169214},{ENSG00000169224},{ENSG00000171180},{ENSG00000177174},{ENSG00000177186},{ENSG00000177201},{ENSG00000177212},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000196071},{ENSG00000196242},{ENSG00000196772},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000198128},{ENSG00000198452},{ENSG00000198601},{ENSG00000203663},{ENSG00000221888},{ENSG00000228198},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000279263}"
24	"Wet Macular Degeneration"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58},{VN1R5},{ZNF124},{ZNF496},{ZNF669},{ZNF670},{ZNF670-ZNF695}"	"{ENSG00000135747},{ENSG00000153230},{ENSG00000162711},{ENSG00000162714},{ENSG00000162722},{ENSG00000169214},{ENSG00000169224},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000188295},{ENSG00000196242},{ENSG00000196418},{ENSG00000196772},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000197617},{ENSG00000198128},{ENSG00000198452},{ENSG00000203663},{ENSG00000221888},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000277462},{ENSG00000279263}"
25	"Nephritis, Hereditary"	"{ENSG00000239395},{GCSAML},{NLRP3},{OR11L1},{OR13G1},{OR14A16},{OR14A2},{OR14C36},{OR14K1},{OR14L1P},{OR1C1},{OR2AJ1},{OR2AK2},{OR2B11},{OR2C3},{OR2G2},{OR2G3},{OR2L13},{OR2L2},{OR2L3},{OR2L5},{OR2L8},{OR2M2},{OR2M3},{OR2M4},{OR2M5},{OR2M7},{OR2T12},{OR2T33},{OR2T4},{OR2T6},{OR2T8},{OR2W3},{OR6F1},{OR9H1P},{TRIM58}"	"{ENSG00000153230},{ENSG00000162711},{ENSG00000162722},{ENSG00000162727},{ENSG00000169214},{ENSG00000169224},{ENSG00000171180},{ENSG00000177174},{ENSG00000177186},{ENSG00000177201},{ENSG00000177212},{ENSG00000177275},{ENSG00000177462},{ENSG00000177476},{ENSG00000177489},{ENSG00000177535},{ENSG00000187080},{ENSG00000196071},{ENSG00000196242},{ENSG00000196772},{ENSG00000196944},{ENSG00000197437},{ENSG00000197454},{ENSG00000197591},{ENSG00000198104},{ENSG00000198128},{ENSG00000198452},{ENSG00000198601},{ENSG00000203663},{ENSG00000221888},{ENSG00000228198},{ENSG00000228336},{ENSG00000238243},{ENSG00000239395},{ENSG00000241128},{ENSG00000279263}"
26	"wrist fracture (bone fracture)"	"{AVPR1B},{BLACAT1},{CDK18},{CTSE},{DSTYK},{ELK4},{KLHDC8A},{LEMD1},{MFSD4A},{NUAK2},{NUCKS1},{PM20D1},{RAB29},{RAB7B},{RHEX},{SLC26A9},{SLC41A1},{SLC45A3},{TMCC2}"	"{ENSG00000069275},{ENSG00000117266},{ENSG00000117280},{ENSG00000133059},{ENSG00000133065},{ENSG00000133069},{ENSG00000158711},{ENSG00000158715},{ENSG00000162873},{ENSG00000162877},{ENSG00000163545},{ENSG00000174502},{ENSG00000174514},{ENSG00000186007},{ENSG00000196188},{ENSG00000198049},{ENSG00000263961},{ENSG00000276600},{ENSG00000281406}"
27	"COVID-19"	"{NBPF4},{NTNG1},{SLC25A24},{VAV3}"	"{ENSG00000085491},{ENSG00000134215},{ENSG00000162631},{ENSG00000196427}"
28	"Blood metabolite ratios (androsterone sulfate/epiandrosterone sulfate) (Androsterone sulfate / Epiandrosterone Sulfate)"	"{ACTG2},{ALMS1},{BOLA3},{C2orf78},{CCT7},{DGUOK},{DUSP11},{EGR4},{FBXO41},{MOB1A},{MTHFD2},{NAT8},{NAT8B},{NOTO},{PRADC1},{SMYD5},{STAMBP},{TET3},{TPRKB}"	"{ENSG00000065911},{ENSG00000114956},{ENSG00000114978},{ENSG00000116127},{ENSG00000124356},{ENSG00000135617},{ENSG00000135624},{ENSG00000135625},{ENSG00000135632},{ENSG00000144034},{ENSG00000144035},{ENSG00000144048},{ENSG00000163013},{ENSG00000163017},{ENSG00000163170},{ENSG00000187605},{ENSG00000187833},{ENSG00000204872},{ENSG00000214513}"
29	"White blood cell count"	"{ACTG2},{ALMS1},{C2orf78},{CCT7},{DGUOK},{DUSP11},{EGR4},{FBXO41},{NAT8},{NAT8B},{NOTO},{PRADC1},{SMYD5},{STAMBP},{TET3},{TPRKB}"	"{ENSG00000114956},{ENSG00000116127},{ENSG00000124356},{ENSG00000135617},{ENSG00000135624},{ENSG00000135625},{ENSG00000135632},{ENSG00000144034},{ENSG00000144035},{ENSG00000144048},{ENSG00000163013},{ENSG00000163017},{ENSG00000187605},{ENSG00000187833},{ENSG00000204872},{ENSG00000214513}"
30	"Pneumonia"	"{ACTG2},{ALMS1},{BOLA3},{C2orf78},{C2orf81},{DCTN1},{DGUOK},{DUSP11},{ENSG00000159239},{ENSG00000264324},{MOB1A},{MTHFD2},{NAT8},{NAT8B},{SLC4A5},{STAMBP},{TET3},{TPRKB}"	"{ENSG00000065911},{ENSG00000114956},{ENSG00000114978},{ENSG00000116127},{ENSG00000124356},{ENSG00000144034},{ENSG00000144035},{ENSG00000144048},{ENSG00000159239},{ENSG00000163017},{ENSG00000163170},{ENSG00000187605},{ENSG00000187833},{ENSG00000188687},{ENSG00000204843},{ENSG00000204872},{ENSG00000264324},{ENSG00000284308}"
31	"Blood metabolite ratios (phosphate/erythronate) (Phosphate / Erythronic acid)"	"{ACTG2},{ALMS1},{BOLA3},{C2orf78},{C2orf81},{DCTN1},{DGUOK},{DUSP11},{ENSG00000159239},{ENSG00000264324},{MOB1A},{MTHFD2},{NAT8},{NAT8B},{RTKN},{SLC4A5},{STAMBP},{TET3},{TPRKB},{WDR54}"	"{ENSG00000005448},{ENSG00000065911},{ENSG00000114956},{ENSG00000114978},{ENSG00000114993},{ENSG00000116127},{ENSG00000124356},{ENSG00000144034},{ENSG00000144035},{ENSG00000144048},{ENSG00000159239},{ENSG00000163017},{ENSG00000163170},{ENSG00000187605},{ENSG00000187833},{ENSG00000188687},{ENSG00000204843},{ENSG00000204872},{ENSG00000264324},{ENSG00000284308}"
32	"Wet Macular Degeneration"	"{ACTG2},{ALMS1},{BOLA3},{C2orf78},{C2orf81},{DCTN1},{DGUOK},{DUSP11},{ENSG00000159239},{ENSG00000264324},{MOB1A},{MTHFD2},{NAT8},{NAT8B},{RTKN},{SLC4A5},{STAMBP},{TET3},{TPRKB},{WDR54}"	"{ENSG00000005448},{ENSG00000065911},{ENSG00000114956},{ENSG00000114978},{ENSG00000114993},{ENSG00000116127},{ENSG00000124356},{ENSG00000144034},{ENSG00000144035},{ENSG00000144048},{ENSG00000159239},{ENSG00000163017},{ENSG00000163170},{ENSG00000187605},{ENSG00000187833},{ENSG00000188687},{ENSG00000204843},{ENSG00000204872},{ENSG00000264324},{ENSG00000284308}"
33	"Pyruvate Kinase Deficiency of Red Cells"	"{ACTG2},{ALMS1},{BOLA3},{C2orf78},{C2orf81},{DCTN1},{DGUOK},{DUSP11},{ENSG00000159239},{ENSG00000264324},{MOB1A},{MTHFD2},{NAT8},{NAT8B},{RTKN},{SLC4A5},{STAMBP},{TET3},{TPRKB},{WDR54}"	"{ENSG00000005448},{ENSG00000065911},{ENSG00000114956},{ENSG00000114978},{ENSG00000114993},{ENSG00000116127},{ENSG00000124356},{ENSG00000144034},{ENSG00000144035},{ENSG00000144048},{ENSG00000159239},{ENSG00000163017},{ENSG00000163170},{ENSG00000187605},{ENSG00000187833},{ENSG00000188687},{ENSG00000204843},{ENSG00000204872},{ENSG00000264324},{ENSG00000284308}"
34	"Blood metabolite levels (tryptophan) (L-Tryptophan)"	"{ACTG2},{ALMS1},{BOLA3},{C2orf78},{C2orf81},{DCTN1},{DGUOK},{DUSP11},{ENSG00000159239},{ENSG00000264324},{MOB1A},{MTHFD2},{NAT8},{NAT8B},{RTKN},{SLC4A5},{STAMBP},{TET3},{TPRKB},{WDR54}"	"{ENSG00000005448},{ENSG00000065911},{ENSG00000114956},{ENSG00000114978},{ENSG00000114993},{ENSG00000116127},{ENSG00000124356},{ENSG00000144034},{ENSG00000144035},{ENSG00000144048},{ENSG00000159239},{ENSG00000163017},{ENSG00000163170},{ENSG00000187605},{ENSG00000187833},{ENSG00000188687},{ENSG00000204843},{ENSG00000204872},{ENSG00000264324},{ENSG00000284308}"
35	"margarine intake (diet measurement)"	"{LAPTM4A},{MATN3},{PUM2},{RHOB},{SDC1},{TTC32},{WDR35}"	"{ENSG00000055917},{ENSG00000068697},{ENSG00000115884},{ENSG00000118965},{ENSG00000132031},{ENSG00000143878},{ENSG00000183891}"
36	"malignant neoplasms of skin (skin carcinoma)"	"{ABHD1},{AGBL5},{ATRAID},{C2orf16},{CAD},{CCDC121},{CENPA},{CGREF1},{DNAJC5G},{DPYSL5},{EIF2B4},{EMILIN1},{FNDC4},{GCKR},{GPN1},{GTF3C2},{IFT172},{KCNK3},{KHK},{KRTCAP3},{MAPRE3},{MPV17},{NRBP1},{OST4},{PPM1G},{PREB},{PRR30},{SLC30A3},{SLC35F6},{SLC5A6},{SNX17},{TCF23},{TMEM214},{TRIM54},{UCN},{ZNF512},{ZNF513}"	"{ENSG00000084693},{ENSG00000084734},{ENSG00000084764},{ENSG00000084774},{ENSG00000115163},{ENSG00000115194},{ENSG00000115204},{ENSG00000115207},{ENSG00000115211},{ENSG00000115216},{ENSG00000115226},{ENSG00000115234},{ENSG00000115241},{ENSG00000119777},{ENSG00000138002},{ENSG00000138028},{ENSG00000138030},{ENSG00000138073},{ENSG00000138074},{ENSG00000138080},{ENSG00000138085},{ENSG00000138100},{ENSG00000143994},{ENSG00000157851},{ENSG00000157992},{ENSG00000163792},{ENSG00000163793},{ENSG00000163794},{ENSG00000163795},{ENSG00000171303},{ENSG00000176714},{ENSG00000186143},{ENSG00000198522},{ENSG00000213699},{ENSG00000221843},{ENSG00000228474},{ENSG00000243943}"
37	"melanocytic naevi (skin pigmentation)"	"{ABHD1},{AGBL5},{ATRAID},{C2orf16},{CAD},{CCDC121},{CENPA},{CGREF1},{DNAJC5G},{DPYSL5},{EIF2B4},{EMILIN1},{FNDC4},{GCKR},{GPN1},{GTF3C2},{IFT172},{KCNK3},{KHK},{KRTCAP3},{MAPRE3},{MPV17},{NRBP1},{OST4},{PPM1G},{PREB},{PRR30},{SLC30A3},{SLC35F6},{SLC5A6},{SNX17},{SUPT7L},{TCF23},{TMEM214},{TRIM54},{UCN},{ZNF512},{ZNF513}"	"{ENSG00000084693},{ENSG00000084734},{ENSG00000084764},{ENSG00000084774},{ENSG00000115163},{ENSG00000115194},{ENSG00000115204},{ENSG00000115207},{ENSG00000115211},{ENSG00000115216},{ENSG00000115226},{ENSG00000115234},{ENSG00000115241},{ENSG00000119760},{ENSG00000119777},{ENSG00000138002},{ENSG00000138028},{ENSG00000138030},{ENSG00000138073},{ENSG00000138074},{ENSG00000138080},{ENSG00000138085},{ENSG00000138100},{ENSG00000143994},{ENSG00000157851},{ENSG00000157992},{ENSG00000163792},{ENSG00000163793},{ENSG00000163794},{ENSG00000163795},{ENSG00000171303},{ENSG00000176714},{ENSG00000186143},{ENSG00000198522},{ENSG00000213699},{ENSG00000221843},{ENSG00000228474},{ENSG00000243943}"
38	"Myocardial infarction"	"{ABHD1},{AGBL5},{ATRAID},{C2orf16},{CAD},{CCDC121},{CGREF1},{DNAJC5G},{DPYSL5},{EIF2B4},{EMILIN1},{FNDC4},{GCKR},{GPN1},{GTF3C2},{IFT172},{KHK},{KRTCAP3},{MAPRE3},{MPV17},{MRPL33},{NRBP1},{OST4},{PPM1G},{PREB},{PRR30},{RBKS},{SLC30A3},{SLC4A1AP},{SLC5A6},{SNX17},{SUPT7L},{TCF23},{TMEM214},{TRIM54},{UCN},{ZNF512},{ZNF513}"	"{ENSG00000084693},{ENSG00000084734},{ENSG00000084764},{ENSG00000084774},{ENSG00000115194},{ENSG00000115204},{ENSG00000115207},{ENSG00000115211},{ENSG00000115216},{ENSG00000115226},{ENSG00000115234},{ENSG00000115241},{ENSG00000119760},{ENSG00000119777},{ENSG00000138002},{ENSG00000138028},{ENSG00000138030},{ENSG00000138073},{ENSG00000138074},{ENSG00000138080},{ENSG00000138085},{ENSG00000138100},{ENSG00000143994},{ENSG00000157851},{ENSG00000157992},{ENSG00000163792},{ENSG00000163793},{ENSG00000163794},{ENSG00000163795},{ENSG00000163798},{ENSG00000171174},{ENSG00000176714},{ENSG00000186143},{ENSG00000198522},{ENSG00000221843},{ENSG00000228474},{ENSG00000243147},{ENSG00000243943}"
