"row_number"	"description"	"symbol_gene_string"	"ensembl_gene_string"
11	"Glutamine (L-Glutamine)"	"{CLIP2},{EIF4H},{GATSL1},{GTF2I},{GTF2IRD1},{GTF2IRD2},{GTF2IRD2B},{LAT2},{NCF1},{RFC2},{WBSCR16}"	"{ENSG00000006704},{ENSG00000049541},{ENSG00000077809},{ENSG00000086730},{ENSG00000106665},{ENSG00000106682},{ENSG00000158517},{ENSG00000174374},{ENSG00000174428},{ENSG00000183086},{ENSG00000196275}"
12	"Glycine"	"{ABCG4},{AMICA1},{ARCN1},{ATP5L},{BCL9L},{C2CD2L},{CCDC84},{CD3D},{CD3E},{CD3G},{CXCR5},{DDX6},{DPAGT1},{FOXR1},{H2AFX},{HINFP},{HMBS},{HYOU1},{IFT46},{KMT2A},{MPZL2},{MPZL3},{NLRX1},{PHLDB1},{RPS25},{SLC37A4},{TMEM25},{TRAPPC4},{TREH},{TTC36},{UBE4A},{UPK2},{VPS11}"	"{ENSG00000019144},{ENSG00000095139},{ENSG00000110344},{ENSG00000110367},{ENSG00000110375},{ENSG00000118058},{ENSG00000118094},{ENSG00000118096},{ENSG00000118181},{ENSG00000137700},{ENSG00000149428},{ENSG00000149573},{ENSG00000149582},{ENSG00000160588},{ENSG00000160593},{ENSG00000160654},{ENSG00000160683},{ENSG00000160695},{ENSG00000160703},{ENSG00000167283},{ENSG00000167286},{ENSG00000172269},{ENSG00000172273},{ENSG00000172350},{ENSG00000172375},{ENSG00000172425},{ENSG00000176302},{ENSG00000186166},{ENSG00000186174},{ENSG00000188486},{ENSG00000196655},{ENSG00000198851},{ENSG00000256269}"
13	"Rheumatoid arthritis"	"{ABCG4},{ARCN1},{ATP5L},{BCL9L},{C1QTNF5},{C2CD2L},{CBL},{CCDC153},{CCDC84},{CD3D},{CD3G},{CXCR5},{DDX6},{DPAGT1},{FOXR1},{H2AFX},{HINFP},{HMBS},{HYOU1},{IFT46},{KMT2A},{MCAM},{MFRP},{NLRX1},{PDZD3},{PHLDB1},{RNF26},{RPS25},{SLC37A4},{TMEM25},{TRAPPC4},{TREH},{TTC36},{UBE4A},{UPK2},{VPS11}"	"{ENSG00000019144},{ENSG00000076706},{ENSG00000095139},{ENSG00000110344},{ENSG00000110367},{ENSG00000110375},{ENSG00000110395},{ENSG00000118058},{ENSG00000118094},{ENSG00000118096},{ENSG00000118181},{ENSG00000137700},{ENSG00000149428},{ENSG00000149582},{ENSG00000160654},{ENSG00000160683},{ENSG00000160695},{ENSG00000160703},{ENSG00000167283},{ENSG00000167286},{ENSG00000172269},{ENSG00000172273},{ENSG00000172350},{ENSG00000172367},{ENSG00000172375},{ENSG00000172425},{ENSG00000173456},{ENSG00000176302},{ENSG00000186166},{ENSG00000186174},{ENSG00000188486},{ENSG00000196655},{ENSG00000223953},{ENSG00000235718},{ENSG00000248712},{ENSG00000256269},{ENSG00000259159}"
14	"melanocytic naevi (suntan)"	"{ABCG4},{ARCN1},{ATP5L},{BCL9L},{C1QTNF5},{C2CD2L},{CBL},{CCDC153},{CCDC84},{CXCR5},{DDX6},{DPAGT1},{FOXR1},{H2AFX},{HINFP},{HMBS},{HYOU1},{IFT46},{KMT2A},{MCAM},{MFRP},{NLRX1},{PDZD3},{PHLDB1},{RNF26},{RPS25},{SLC37A4},{TMEM25},{TRAPPC4},{TREH},{TTC36},{UBE4A},{UPK2},{USP2},{VPS11}"	"{ENSG00000019144},{ENSG00000036672},{ENSG00000076706},{ENSG00000095139},{ENSG00000110344},{ENSG00000110367},{ENSG00000110375},{ENSG00000110395},{ENSG00000118058},{ENSG00000118094},{ENSG00000118096},{ENSG00000118181},{ENSG00000137700},{ENSG00000149428},{ENSG00000149582},{ENSG00000160683},{ENSG00000160695},{ENSG00000160703},{ENSG00000167283},{ENSG00000172269},{ENSG00000172273},{ENSG00000172350},{ENSG00000172367},{ENSG00000172375},{ENSG00000172425},{ENSG00000173456},{ENSG00000176302},{ENSG00000186166},{ENSG00000186174},{ENSG00000188486},{ENSG00000196655},{ENSG00000223953},{ENSG00000235718},{ENSG00000248712},{ENSG00000256269},{ENSG00000259159}"
15	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis)  [subset analysis]"	"{ATP5EP2},{CDX2},{FLT1},{FLT3},{GSX1},{LNX2},{PAN3},{PDX1},{POLR1D},{URAD}"	"{ENSG00000102755},{ENSG00000122025},{ENSG00000139515},{ENSG00000139517},{ENSG00000152520},{ENSG00000165556},{ENSG00000169840},{ENSG00000180389},{ENSG00000183463},{ENSG00000186184}"
16	"Multiple Sclerosis"	"{ATP5EP2},{CDX2},{FLT1},{FLT3},{GSX1},{LNX2},{PAN3},{PDX1},{POLR1D},{URAD}"	"{ENSG00000102755},{ENSG00000122025},{ENSG00000139515},{ENSG00000139517},{ENSG00000152520},{ENSG00000165556},{ENSG00000169840},{ENSG00000180389},{ENSG00000183463},{ENSG00000186184}"
17	"Puberty, Precocious"	"{ASB2},{DDX24},{FAM181A},{GSC},{IFI27},{IFI27L1},{IFI27L2},{OTUB2},{PPP4R4},{SERPINA1},{SERPINA10},{SERPINA11},{SERPINA12},{SERPINA3},{SERPINA4},{SERPINA5},{SERPINA6},{SERPINA9}"	"{ENSG00000089723},{ENSG00000089737},{ENSG00000100628},{ENSG00000100665},{ENSG00000119632},{ENSG00000119698},{ENSG00000133937},{ENSG00000140067},{ENSG00000140093},{ENSG00000165948},{ENSG00000165949},{ENSG00000165953},{ENSG00000170054},{ENSG00000170099},{ENSG00000186910},{ENSG00000188488},{ENSG00000196136},{ENSG00000197249}"
18	"Graft vs Host Disease"	"{ACD},{AGRP},{ATP6V0D1},{B3GNT9},{C16orf70},{C16orf86},{CBFB},{CENPT},{CTCF},{CTRL},{DDX28},{DPEP2},{DPEP3},{DUS2},{E2F4},{EDC4},{ELMO3},{ENKD1},{EXOC3L1},{FAM65A},{FBXL8},{FHOD1},{GFOD2},{HSD11B2},{HSF4},{KCTD19},{KIAA0895L},{LCAT},{LRRC29},{LRRC36},{NOL3},{NRN1L},{NUTF2},{PARD6A},{PLEKHG4},{PSKH1},{PSMB10},{RANBP10},{RLTPR},{SLC12A4},{SLC9A5},{THAP11},{TMEM208},{TPPP3},{TRADD},{TSNAXIP1},{ZDHHC1}"	"{ENSG00000038358},{ENSG00000039523},{ENSG00000067955},{ENSG00000102871},{ENSG00000102878},{ENSG00000102890},{ENSG00000102898},{ENSG00000102901},{ENSG00000102904},{ENSG00000102974},{ENSG00000102977},{ENSG00000102981},{ENSG00000124067},{ENSG00000124074},{ENSG00000125122},{ENSG00000125149},{ENSG00000135722},{ENSG00000135723},{ENSG00000135740},{ENSG00000140939},{ENSG00000141084},{ENSG00000141086},{ENSG00000141096},{ENSG00000141098},{ENSG00000159708},{ENSG00000159713},{ENSG00000159714},{ENSG00000159720},{ENSG00000159723},{ENSG00000159753},{ENSG00000159761},{ENSG00000159792},{ENSG00000167261},{ENSG00000167264},{ENSG00000168286},{ENSG00000168676},{ENSG00000168701},{ENSG00000176387},{ENSG00000179044},{ENSG00000182810},{ENSG00000188038},{ENSG00000196123},{ENSG00000196155},{ENSG00000205220},{ENSG00000205250},{ENSG00000213398},{ENSG00000237172}"
19	"6 mm strong meridian angle (Myopia)"	"{CMIP},{GAN},{HSD17B2},{MPHOSPH6},{PLCG2},{SDR42E1}"	"{ENSG00000086696},{ENSG00000135698},{ENSG00000153815},{ENSG00000184860},{ENSG00000197943},{ENSG00000261609}"
20	"Mevalonate Kinase Deficiency"	"{APRT},{CBFA2T3},{CDT1},{CTU2},{CYBA},{GALNS},{IL17C},{MVD},{PABPN1L},{PIEZO1},{RNF166},{SNAI3},{TRAPPC2L},{ZC3H18},{ZFPM1},{ZNF469}"	"{ENSG00000051523},{ENSG00000103335},{ENSG00000124391},{ENSG00000129993},{ENSG00000141012},{ENSG00000158545},{ENSG00000158717},{ENSG00000167508},{ENSG00000167513},{ENSG00000167515},{ENSG00000174177},{ENSG00000179588},{ENSG00000185669},{ENSG00000198931},{ENSG00000205022},{ENSG00000225614}"
21	"Lymphoma"	"{ACSF3},{ANKRD11},{APRT},{CBFA2T3},{CDH15},{CDT1},{CTU2},{CYBA},{GALNS},{IL17C},{MVD},{PABPN1L},{PIEZO1},{RNF166},{SLC22A31},{SNAI3},{TRAPPC2L},{ZC3H18},{ZFPM1},{ZNF778}"	"{ENSG00000051523},{ENSG00000103335},{ENSG00000124391},{ENSG00000129910},{ENSG00000129993},{ENSG00000141012},{ENSG00000158545},{ENSG00000158717},{ENSG00000167508},{ENSG00000167513},{ENSG00000167515},{ENSG00000167522},{ENSG00000170100},{ENSG00000174177},{ENSG00000176715},{ENSG00000179588},{ENSG00000185669},{ENSG00000198931},{ENSG00000205022},{ENSG00000259803}"
22	"Metabolite levels (N-acetyltyrosine)"	"{CCDC144A},{COPS3},{FAM211A},{FLCN},{MED9},{MPRIP},{NT5M},{PLD6},{TNFRSF13B},{ZNF287},{ZNF624}"	"{ENSG00000133030},{ENSG00000141026},{ENSG00000141030},{ENSG00000141040},{ENSG00000154803},{ENSG00000170160},{ENSG00000179598},{ENSG00000181350},{ENSG00000197566},{ENSG00000205309},{ENSG00000240505}"
23	"Myopia"	"{CCDC144A},{COPS3},{FAM211A},{FLCN},{MED9},{MPRIP},{NT5M},{PLD6},{TNFRSF13B},{ZNF287},{ZNF624}"	"{ENSG00000133030},{ENSG00000141026},{ENSG00000141030},{ENSG00000141040},{ENSG00000154803},{ENSG00000170160},{ENSG00000179598},{ENSG00000181350},{ENSG00000197566},{ENSG00000205309},{ENSG00000240505}"
24	"Essential hypertension"	"{COPS3},{FLCN},{MED9},{MPRIP},{NT5M},{PEMT},{PLD6},{RAI1},{RASD1},{SREBF1},{TNFRSF13B},{TOM1L2}"	"{ENSG00000072310},{ENSG00000108551},{ENSG00000108557},{ENSG00000133027},{ENSG00000133030},{ENSG00000141026},{ENSG00000141030},{ENSG00000154803},{ENSG00000175662},{ENSG00000179598},{ENSG00000205309},{ENSG00000240505}"
25	"Metabolite levels (glycodeoxycholate 3-sulfate; glycodeoxycholate sulfate)"	"{ARL10},{CDHR2},{CLTB},{EIF4E1B},{FAF2},{FAM153B},{GPRIN1},{HIGD2A},{HK3},{KIAA1191},{NOP16},{RNF44},{SIMC1},{SNCB},{THOC3},{TSPAN17},{UIMC1},{UNC5A},{ZNF346}"	"{ENSG00000048140},{ENSG00000048162},{ENSG00000051596},{ENSG00000074276},{ENSG00000074317},{ENSG00000087206},{ENSG00000113194},{ENSG00000113761},{ENSG00000113763},{ENSG00000122203},{ENSG00000146066},{ENSG00000146083},{ENSG00000160883},{ENSG00000169258},{ENSG00000170085},{ENSG00000175414},{ENSG00000175416},{ENSG00000175766},{ENSG00000182230}"
26	"Leber Congenital Amaurosis"	"{CDHR2},{DBN1},{DDX41},{DOK3},{EIF4E1B},{F12},{FAM193B},{FGFR4},{GPRIN1},{GRK6},{HK3},{LMAN2},{MXD3},{NSD1},{PDLIM7},{PFN3},{PRELID1},{PRR7},{RAB24},{RGS14},{RNF44},{SLC34A1},{SNCB},{TSPAN17},{UIMC1},{UNC5A},{ZNF346}"	"{ENSG00000048140},{ENSG00000074276},{ENSG00000074317},{ENSG00000087206},{ENSG00000113758},{ENSG00000113761},{ENSG00000113763},{ENSG00000131183},{ENSG00000131187},{ENSG00000131188},{ENSG00000146067},{ENSG00000146083},{ENSG00000146094},{ENSG00000160867},{ENSG00000160883},{ENSG00000165671},{ENSG00000169220},{ENSG00000169223},{ENSG00000169228},{ENSG00000169230},{ENSG00000169258},{ENSG00000175766},{ENSG00000183258},{ENSG00000196570},{ENSG00000196923},{ENSG00000198055},{ENSG00000213347}"
27	"Neoplasms, Connective Tissue"	"{GRIP1},{HELB},{HMGA2},{IRAK3},{LLPH},{TMBIM4}"	"{ENSG00000090376},{ENSG00000127311},{ENSG00000139233},{ENSG00000149948},{ENSG00000155957},{ENSG00000155974},{ENSG00000228144}"
28	"skin color"	"{GRIP1},{HELB},{HMGA2},{IRAK3},{LLPH},{TMBIM4}"	"{ENSG00000090376},{ENSG00000127311},{ENSG00000139233},{ENSG00000149948},{ENSG00000155957},{ENSG00000155974},{ENSG00000228144}"
29	"Immunoglobulin Light-chain Amyloidosis"	"{BRSK1},{CCDC106},{COX6B2},{DNAAF3},{EPN1},{EPS8L1},{FAM71E2},{FCAR},{FIZ1},{GP6},{HSPBP1},{IL11},{ISOC2},{KIR2DL4},{KIR3DL1},{KIR3DL2},{NAT14},{NCR1},{NLRP11},{NLRP2},{NLRP7},{NLRP9},{PPP1R12C},{PPP6R1},{PTPRH},{RDH13},{RFPL4A},{RFPL4AL1},{RPL28},{SBK2},{SBK3},{SHISA7},{SSC5D},{SUV420H2},{SYT5},{TMEM150B},{TMEM190},{TMEM238},{TMEM86B},{TNNI3},{TNNT1},{U2AF2},{UBE2S},{ZNF524},{ZNF579},{ZNF580},{ZNF581},{ZNF628},{ZNF784},{ZNF865}"	"{ENSG00000022556},{ENSG00000063241},{ENSG00000063244},{ENSG00000063245},{ENSG00000080031},{ENSG00000088053},{ENSG00000090971},{ENSG00000095752},{ENSG00000105048},{ENSG00000105063},{ENSG00000108106},{ENSG00000108107},{ENSG00000125503},{ENSG00000129990},{ENSG00000129991},{ENSG00000131037},{ENSG00000133247},{ENSG00000133265},{ENSG00000160439},{ENSG00000160469},{ENSG00000160471},{ENSG00000160472},{ENSG00000167633},{ENSG00000167634},{ENSG00000167646},{ENSG00000171425},{ENSG00000171443},{ENSG00000173581},{ENSG00000179873},{ENSG00000179922},{ENSG00000179943},{ENSG00000179954},{ENSG00000180043},{ENSG00000180061},{ENSG00000180089},{ENSG00000185792},{ENSG00000186431},{ENSG00000187550},{ENSG00000187902},{ENSG00000189013},{ENSG00000189430},{ENSG00000197483},{ENSG00000213015},{ENSG00000218891},{ENSG00000223638},{ENSG00000229292},{ENSG00000231274},{ENSG00000233493},{ENSG00000240403},{ENSG00000261221}"
30	"Blood metabolite ratios (androsterone sulfate/epiandrosterone sulfate) (Androsterone sulfate / Epiandrosterone Sulfate)"	"{BRSK1},{CCDC106},{COX6B2},{DNAAF3},{EPN1},{EPS8L1},{FAM71E2},{FCAR},{FIZ1},{GP6},{HSPBP1},{IL11},{ISOC2},{KIR3DL1},{KIR3DL2},{NAT14},{NCR1},{NLRP11},{NLRP2},{NLRP7},{NLRP9},{PPP1R12C},{PPP6R1},{PTPRH},{RDH13},{RFPL4A},{RFPL4AL1},{RPL28},{SBK2},{SBK3},{SHISA7},{SSC5D},{SUV420H2},{SYT5},{TMEM150B},{TMEM190},{TMEM238},{TMEM86B},{TNNI3},{TNNT1},{U2AF2},{UBE2S},{ZNF524},{ZNF579},{ZNF580},{ZNF581},{ZNF628},{ZNF784},{ZNF865}"	"{ENSG00000022556},{ENSG00000063241},{ENSG00000063244},{ENSG00000063245},{ENSG00000080031},{ENSG00000088053},{ENSG00000090971},{ENSG00000095752},{ENSG00000105048},{ENSG00000105063},{ENSG00000108106},{ENSG00000108107},{ENSG00000125503},{ENSG00000129990},{ENSG00000129991},{ENSG00000131037},{ENSG00000133247},{ENSG00000133265},{ENSG00000160439},{ENSG00000160469},{ENSG00000160471},{ENSG00000160472},{ENSG00000167633},{ENSG00000167634},{ENSG00000167646},{ENSG00000171425},{ENSG00000171443},{ENSG00000173581},{ENSG00000179873},{ENSG00000179922},{ENSG00000179943},{ENSG00000179954},{ENSG00000180043},{ENSG00000180061},{ENSG00000180089},{ENSG00000185792},{ENSG00000186431},{ENSG00000187550},{ENSG00000187902},{ENSG00000189430},{ENSG00000197483},{ENSG00000213015},{ENSG00000218891},{ENSG00000223638},{ENSG00000229292},{ENSG00000231274},{ENSG00000233493},{ENSG00000240403},{ENSG00000261221}"
31	"Random glucose levels"	"{ADAM15},{ADAR},{AQP10},{ATP8B2},{C1orf189},{C1orf43},{CHRNB2},{CKS1B},{DCST1},{DCST2},{DPM3},{EFNA1},{EFNA3},{EFNA4},{FLAD1},{HAX1},{IL6R},{KCNN3},{LENEP},{NUP210L},{PBXIP1},{PMVK},{PYGO2},{SHC1},{SHE},{SLC50A1},{TDRD10},{TPM3},{UBAP2L},{UBE2Q1},{ZBTB7B}"	"{ENSG00000143515},{ENSG00000143537},{ENSG00000143549},{ENSG00000143552},{ENSG00000143569},{ENSG00000143575},{ENSG00000143590},{ENSG00000143595},{ENSG00000143603},{ENSG00000143612},{ENSG00000160685},{ENSG00000160688},{ENSG00000160691},{ENSG00000160710},{ENSG00000160712},{ENSG00000160714},{ENSG00000160716},{ENSG00000163239},{ENSG00000163263},{ENSG00000163344},{ENSG00000163346},{ENSG00000163348},{ENSG00000163352},{ENSG00000163354},{ENSG00000163357},{ENSG00000169241},{ENSG00000169242},{ENSG00000169291},{ENSG00000173207},{ENSG00000179085},{ENSG00000243364},{ENSG00000251246}"
32	"Phenylketonurias"	"{ADRA2C},{DOK7},{GRK4},{HGFAC},{HTT},{LRPAP1},{MSANTD1},{NOP14},{RGS12}"	"{ENSG00000087269},{ENSG00000109758},{ENSG00000125388},{ENSG00000159788},{ENSG00000163956},{ENSG00000175920},{ENSG00000184160},{ENSG00000188981},{ENSG00000197386}"
33	"Blood metabolite ratios (phosphate/erythronate) (Phosphate / Erythronic acid)"	"{ADRA2C},{DOK7},{GRK4},{HGFAC},{HTT},{LRPAP1},{MSANTD1},{NOP14},{RGS12}"	"{ENSG00000087269},{ENSG00000109758},{ENSG00000125388},{ENSG00000159788},{ENSG00000163956},{ENSG00000175920},{ENSG00000184160},{ENSG00000188981},{ENSG00000197386}"
34	"Leber Congenital Amaurosis"	"{AFM},{AFP},{ALB},{ANKRD17},{COX18},{CXCL1},{CXCL6},{IL8},{PF4V1},{RASSF6}"	"{ENSG00000079557},{ENSG00000081051},{ENSG00000109272},{ENSG00000124875},{ENSG00000132466},{ENSG00000163626},{ENSG00000163631},{ENSG00000163739},{ENSG00000169429},{ENSG00000169435}"
35	"Aromatic amino acid decarboxylase deficiency"	"{AFM},{AFP},{ALB},{ANKRD17},{COX18},{CXCL1},{CXCL6},{IL8},{PF4V1},{RASSF6}"	"{ENSG00000079557},{ENSG00000081051},{ENSG00000109272},{ENSG00000124875},{ENSG00000132466},{ENSG00000163626},{ENSG00000163631},{ENSG00000163739},{ENSG00000169429},{ENSG00000169435}"
36	"Blood metabolite levels (tryptophan) (L-Tryptophan)"	"{ADH1A},{ADH1B},{ADH4},{ADH5},{ADH6},{ADH7},{C4orf17},{EIF4E},{METAP1},{MTTP},{TRMT10A},{TSPAN5}"	"{ENSG00000138813},{ENSG00000138823},{ENSG00000145331},{ENSG00000151247},{ENSG00000164024},{ENSG00000168785},{ENSG00000172955},{ENSG00000187758},{ENSG00000196344},{ENSG00000196616},{ENSG00000197894},{ENSG00000198099}"
37	"treatment with alendronate (heel bone mineral density)"	"{ANKDD1B},{F2RL2},{IQGAP2},{POC5},{SV2C}"	"{ENSG00000122012},{ENSG00000145703},{ENSG00000152359},{ENSG00000164220},{ENSG00000189045}"
38	"male balding pattern (balding measurement)"	"{F2R},{F2RL1},{F2RL2},{IQGAP2},{S100Z},{SV2C}"	"{ENSG00000122012},{ENSG00000145703},{ENSG00000164220},{ENSG00000164251},{ENSG00000171643},{ENSG00000181104}"
39	"fresh fruit intake (diet measurement)"	"{AGGF1},{CRHBP},{F2R},{F2RL1},{F2RL2},{IQGAP2},{PDE8B},{S100Z},{SV2C},{ZBED3}"	"{ENSG00000113231},{ENSG00000122012},{ENSG00000132846},{ENSG00000145703},{ENSG00000145708},{ENSG00000164220},{ENSG00000164251},{ENSG00000164252},{ENSG00000171643},{ENSG00000181104}"
40	"Myocardial infarction"	"{AGGF1},{CRHBP},{F2R},{F2RL1},{F2RL2},{IQGAP2},{PDE8B},{S100Z},{SV2C},{ZBED3}"	"{ENSG00000113231},{ENSG00000122012},{ENSG00000132846},{ENSG00000145703},{ENSG00000145708},{ENSG00000164220},{ENSG00000164251},{ENSG00000164252},{ENSG00000171643},{ENSG00000181104}"
41	"Lymphoma, Mantle-Cell"	"{AMZ1},{BRAT1},{CHST12},{EIF3B},{FTSJ2},{GNA12},{IQCE},{LFNG},{MAD1L1},{NUDT1},{SNX8},{TTYH3}"	"{ENSG00000002822},{ENSG00000106003},{ENSG00000106009},{ENSG00000106012},{ENSG00000106263},{ENSG00000106266},{ENSG00000106268},{ENSG00000122687},{ENSG00000136213},{ENSG00000136295},{ENSG00000146535},{ENSG00000174945}"
42	"Metabolite levels (aminoisobutyric_acid; 2-aminoisobutyric acid)"	"{ABHD12B},{ATL1},{ATP5S},{C14orf183},{CDKL1},{L2HGDH},{MAP4K5},{NIN},{PYGL},{SAV1},{SOS2},{TRIM9},{VCPKMT}"	"{ENSG00000012983},{ENSG00000087299},{ENSG00000100483},{ENSG00000100485},{ENSG00000100490},{ENSG00000100503},{ENSG00000100504},{ENSG00000100505},{ENSG00000125375},{ENSG00000131969},{ENSG00000151748},{ENSG00000168260},{ENSG00000198513}"
43	"Metabolite levels (N6-methyllysine)"	"{GSC},{IFI27},{IFI27L1},{IFI27L2},{PPP4R4},{SERPINA1},{SERPINA10},{SERPINA11},{SERPINA12},{SERPINA3},{SERPINA4},{SERPINA5},{SERPINA6},{SERPINA9}"	"{ENSG00000100665},{ENSG00000119632},{ENSG00000119698},{ENSG00000133937},{ENSG00000140093},{ENSG00000165948},{ENSG00000165949},{ENSG00000165953},{ENSG00000170054},{ENSG00000170099},{ENSG00000186910},{ENSG00000188488},{ENSG00000196136},{ENSG00000197249}"
44	"1-arachidonoylglycerophosphocholine - M33228 (2-Arachidonoylglycerophosphocholine)"	"{DICER1},{GSC},{IFI27},{IFI27L1},{IFI27L2},{PPP4R4},{SERPINA1},{SERPINA10},{SERPINA11},{SERPINA12},{SERPINA3},{SERPINA4},{SERPINA5},{SERPINA6},{SERPINA9}"	"{ENSG00000100665},{ENSG00000100697},{ENSG00000119632},{ENSG00000119698},{ENSG00000133937},{ENSG00000140093},{ENSG00000165948},{ENSG00000165949},{ENSG00000165953},{ENSG00000170054},{ENSG00000170099},{ENSG00000186910},{ENSG00000188488},{ENSG00000196136},{ENSG00000197249}"
45	"Thrombosis (pulmonary embolism)"	"{DPH1},{HIC1},{METTL16},{MNT},{OVCA2},{PRPF8},{RILP},{RPA1},{RTN4RL1},{SCARF1},{SERPINF1},{SERPINF2},{SGSM2},{SLC43A2},{SMG6},{SMYD4},{SRR},{TLCD2},{TSR1},{WDR81}"	"{ENSG00000070366},{ENSG00000070444},{ENSG00000074660},{ENSG00000108963},{ENSG00000127804},{ENSG00000132383},{ENSG00000132386},{ENSG00000141258},{ENSG00000167703},{ENSG00000167705},{ENSG00000167711},{ENSG00000167716},{ENSG00000167720},{ENSG00000167721},{ENSG00000174231},{ENSG00000177374},{ENSG00000185561},{ENSG00000185924},{ENSG00000186532},{ENSG00000262664}"
